Time_s   Intensity_dB
3.513750   39.397516
3.521750   37.712928
3.529750   36.300692
3.537750   35.891040
3.545750   34.930857
3.553750   33.738385
3.561750   32.930916
3.569750   32.410206
3.577750   32.189386
3.585750   30.998389
3.593750   31.745755
3.601750   33.625502
3.609750   34.441920
3.617750   34.443500
3.625750   34.720553
3.633750   35.680069
3.641750   36.755306
3.649750   37.576710
3.657750   38.682124
3.665750   39.709133
3.673750   40.142045
3.681750   40.942897
3.689750   46.426445
3.697750   53.777779
3.705750   58.554165
3.713750   60.595016
3.721750   61.156863
3.729750   61.462150
3.737750   61.677306
3.745750   62.100828
3.753750   62.870967
3.761750   63.403759
3.769750   63.167514
3.777750   62.396700
3.785750   61.698865
3.793750   60.995715
3.801750   60.639312
3.809750   60.923422
3.817750   61.411154
3.825750   61.668840
3.833750   61.380107
3.841750   60.331094
3.849750   58.959605
3.857750   59.014074
3.865750   60.679815
3.873750   62.030545
3.881750   61.986357
3.889750   60.795949
3.897750   60.428860
3.905750   62.821893
3.913750   65.283505
3.921750   66.524404
3.929750   67.151380
3.937750   67.605888
3.945750   67.752861
3.953750   67.453550
3.961750   66.702632
3.969750   65.483825
3.977750   63.636969
3.985750   61.127475
3.993750   59.293708
4.001750   58.065125
4.009750   56.370770
4.017750   54.747123
4.025750   52.525928
4.033750   50.021133
4.041750   49.809272
4.049750   49.150636
4.057750   47.582824
4.065750   47.443352
4.073750   47.230151
4.081750   46.876300
4.089750   47.079934
4.097750   47.550792
4.105750   48.058000
4.113750   49.109407
4.121750   50.986703
4.129750   53.301412
4.137750   55.675815
4.145750   57.994235
4.153750   59.918393
4.161750   61.458368
4.169750   62.485198
4.177750   63.238689
4.185750   63.667604
4.193750   63.557469
4.201750   62.922972
4.209750   62.159164
4.217750   61.875252
4.225750   62.020769
4.233750   62.412164
4.241750   63.169102
4.249750   64.127010
4.257750   64.690750
4.265750   63.974817
4.273750   61.752150
4.281750   60.459532
4.289750   60.230183
4.297750   59.039397
4.305750   58.363913
4.313750   57.868495
4.321750   56.765654
4.329750   54.542662
4.337750   51.508014
4.345750   51.079054
4.353750   50.824783
4.361750   48.660732
4.369750   46.544570
4.377750   44.579917
4.385750   42.265653
4.393750   40.781013
4.401750   39.031225
4.409750   37.517130
4.417750   36.401082
4.425750   35.593815
4.433750   34.637887
4.441750   33.539525
4.449750   33.814555
4.457750   34.548730
4.465750   36.385565
4.473750   38.135524
4.481750   38.893988
4.489750   39.380831
4.497750   39.956127
4.505750   41.066044
4.513750   42.974939
4.521750   45.969015
4.529750   51.181577
4.537750   56.620198
4.545750   61.030323
4.553750   64.094861
4.561750   65.611214
4.569750   65.538787
4.577750   64.143135
4.585750   62.608085
