Time_s   Intensity_dB
6.932222   57.937474
6.940643   60.964115
6.949064   67.147778
6.957485   76.813825
6.965906   84.586597
6.974327   89.106345
6.982748   90.427077
6.991169   88.948026
6.999590   86.696542
7.008012   88.608819
7.016433   91.429777
7.024854   92.556731
7.033275   92.571469
7.041696   91.838442
7.050117   89.868119
7.058538   87.753985
7.066959   88.722351
7.075380   89.805159
7.083801   89.345117
7.092222   87.448885
7.100643   85.367210
7.109064   86.018308
7.117485   87.962465
7.125906   89.764076
7.134327   91.296979
7.142748   92.051239
7.151169   92.144513
7.159590   92.002906
7.168012   91.850764
7.176433   91.743876
7.184854   91.696158
7.193275   91.549940
7.201696   91.321380
7.210117   91.265987
7.218538   91.413480
7.226959   91.624914
7.235380   91.767350
7.243801   91.837738
7.252222   91.906912
7.260643   92.009974
7.269064   92.138908
7.277485   92.225506
7.285906   92.227633
7.294327   92.141391
7.302748   91.825391
7.311169   90.860824
7.319590   88.642470
7.328012   85.030383
7.336433   82.662759
7.344854   85.038433
7.353275   87.667096
7.361696   88.220427
7.370117   87.324563
7.378538   87.445005
7.386959   88.229358
7.395380   88.324103
7.403801   88.255035
7.412222   88.051849
7.420643   87.435778
7.429064   86.701459
7.437485   86.363131
7.445906   86.630807
7.454327   87.250170
7.462748   87.978857
7.471169   88.770216
7.479590   89.416529
7.488012   89.768132
7.496433   89.958505
7.504854   90.167540
7.513275   90.426332
7.521696   90.712395
7.530117   90.980584
7.538538   91.158150
7.546959   91.169217
7.555380   90.994174
7.563801   90.608245
7.572222   89.892124
7.580643   88.699122
7.589064   86.929064
7.597485   84.716638
7.605906   83.003032
7.614327   83.072380
7.622748   84.018517
7.631169   84.499546
7.639590   83.962044
7.648012   82.430823
7.656433   80.726472
7.664854   80.476748
7.673275   81.507845
7.681696   82.526404
7.690117   83.366874
7.698538   84.542354
7.706959   86.258025
7.715380   88.185566
7.723801   89.834016
7.732222   90.762771
7.740643   90.438934
7.749064   88.436484
7.757485   85.559805
7.765906   82.798853
7.774327   79.093219
7.782748   74.883880
7.791169   72.014550
7.799590   71.079090
7.808012   69.184988
7.816433   65.922159
7.824854   65.138924
7.833275   65.256329
7.841696   63.636262
7.850117   60.435289
7.858538   58.032007
7.866959   58.942648
7.875380   59.791339
7.883801   58.498329
7.892222   55.345648
7.900643   51.783356
7.909064   48.570738
7.917485   46.828913
7.925906   46.372789
7.934327   45.311852
7.942748   43.372315
7.951169   42.403053
7.959590   43.153543
7.968012   43.274489
7.976433   42.427392
7.984854   40.213848
7.993275   36.814153
8.001696   34.853653
8.010117   35.613685
8.018538   37.108088
8.026959   36.863049
8.035380   35.561447
8.043801   35.741877
8.052222   35.217426
8.060643   32.975658
8.069064   31.789300
8.077485   31.153271
8.085906   31.075664
8.094327   30.869257
8.102748   30.655505
8.111169   32.686422
8.119590   34.412310
8.128012   34.940568
8.136433   35.285182
8.144854   34.988748
8.153275   34.435511
8.161696   33.357225
8.170117   31.560768
8.178538   30.040736
8.186959   29.083102
8.195380   29.538343
8.203801   32.537462
8.212222   35.596273
8.220643   36.969416
8.229064   41.555636
8.237485   53.200217
8.245906   61.470583
8.254327   66.283731
8.262748   70.090724
8.271169   74.052434
8.279590   77.734831
8.288012   81.083414
8.296433   83.573702
8.304854   85.046455
8.313275   86.065604
8.321696   86.677235
8.330117   86.061006
8.338538   83.887561
8.346959   82.363159
8.355380   82.437563
8.363801   82.942178
8.372222   84.365228
8.380643   84.610902
8.389064   82.504474
8.397485   80.490596
8.405906   81.325633
8.414327   80.999932
8.422748   79.969582
8.431169   79.619275
8.439590   79.255623
8.448012   78.643836
8.456433   78.337315
8.464854   77.906171
8.473275   77.215322
8.481696   76.564648
8.490117   76.242209
8.498538   76.007656
8.506959   75.701650
8.515380   75.696516
8.523801   76.276098
8.532222   76.924668
8.540643   76.953752
8.549064   76.401326
8.557485   75.585421
8.565906   74.713970
8.574327   73.942085
8.582748   73.271635
8.591169   72.782735
8.599590   72.494008
8.608012   72.278282
8.616433   72.137250
8.624854   72.003281
8.633275   71.489953
8.641696   70.059400
8.650117   67.277631
8.658538   62.825226
8.666959   56.994027
8.675380   53.866458
8.683801   54.097548
8.692222   52.471517
8.700643   49.110127
8.709064   46.929749
8.717485   45.458641
8.725906   43.264467
8.734327   42.624511
8.742748   42.286270
8.751169   40.882552
8.759590   38.823817
8.768012   36.525004
8.776433   35.149584
